title,image_url,category,status,price,description,created_at,nickname,author_id,comments
커피머신 나눔받고 싶어요!,/uploads/커피머신.jpg,필요해요,True,18210,커피머신에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩8기-08,969621,[]
커피머신 나눔받고 싶어요!,/uploads/커피머신.jpg,필요해요,True,46054,커피머신에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글8기-02,989231,[]
프린터 무료 나눔합니다!,/uploads/프린터.jpg,나눔해요,True,0,프린터에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩6기-03,997074,[]
신발장 나눔받고 싶어요!,/uploads/신발장.jpg,필요해요,True,32929,신발장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩3기-06,629782,[]
의자 무료 나눔합니다!,/uploads/의자.jpg,나눔해요,True,0,의자에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩8기-04,913662,[]
냉장고 무료 나눔합니다!,/uploads/냉장고.jpg,나눔해요,True,0,냉장고에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩6기-08,584661,[]
소파 무료 나눔합니다!,/uploads/소파.jpg,나눔해요,True,0,소파에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글7기-01,513503,[]
가습기 무료 나눔합니다!,/uploads/가습기.jpg,나눔해요,True,0,가습기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩3기-09,532053,[]
라디오 나눔받고 싶어요!,/uploads/라디오.jpg,필요해요,True,21648,라디오에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩2기-02,683062,[]
공기청정기 무료 나눔합니다!,/uploads/공기청정기.jpg,나눔해요,True,0,공기청정기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글2기-04,922380,[]
가습기 무료 나눔합니다!,/uploads/가습기.jpg,나눔해요,True,0,가습기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글1기-09,974495,[]
세탁기 나눔받고 싶어요!,/uploads/세탁기.jpg,필요해요,True,27507,세탁기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩2기-08,379867,[]
세탁기 나눔받고 싶어요!,/uploads/세탁기.jpg,필요해요,True,37140,세탁기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩3기-04,495940,[]
전자레인지 나눔받고 싶어요!,/uploads/전자레인지.jpg,필요해요,True,12985,전자레인지에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩4기-03,504520,[]
전기포트 무료 나눔합니다!,/uploads/전기포트.jpg,나눔해요,True,0,전기포트에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩4기-09,968995,[]
세탁기 나눔받고 싶어요!,/uploads/세탁기.jpg,필요해요,True,49895,세탁기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩4기-03,727371,[]
라디오 무료 나눔합니다!,/uploads/라디오.jpg,나눔해요,True,0,라디오에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩1기-05,101143,[]
청소기 나눔받고 싶어요!,/uploads/청소기.jpg,필요해요,True,34032,청소기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩4기-06,868101,[]
의자 무료 나눔합니다!,/uploads/의자.jpg,나눔해요,True,0,의자에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩2기-05,761539,[]
냉장고 나눔받고 싶어요!,/uploads/냉장고.jpg,필요해요,True,36053,냉장고에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩1기-09,662936,[]
청소기 나눔받고 싶어요!,/uploads/청소기.jpg,필요해요,True,33647,청소기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩8기-03,395995,[]
세탁기 무료 나눔합니다!,/uploads/세탁기.jpg,나눔해요,True,0,세탁기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글1기-02,461217,[]
프린터 무료 나눔합니다!,/uploads/프린터.jpg,나눔해요,True,0,프린터에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글7기-06,843942,[]
냉장고 무료 나눔합니다!,/uploads/냉장고.jpg,나눔해요,True,0,냉장고에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩5기-06,357588,[]
신발장 무료 나눔합니다!,/uploads/신발장.jpg,나눔해요,True,0,신발장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩1기-02,804196,[]
프린터 나눔받고 싶어요!,/uploads/프린터.jpg,필요해요,True,34746,프린터에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글8기-08,933482,[]
책장 무료 나눔합니다!,/uploads/책장.jpg,나눔해요,True,0,책장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩4기-08,226510,[]
가습기 나눔받고 싶어요!,/uploads/가습기.jpg,필요해요,True,27039,가습기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩1기-07,169011,[]
소파 나눔받고 싶어요!,/uploads/소파.jpg,필요해요,True,19404,소파에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩7기-04,555346,[]
